"","Date","value"
"1",2020-09-09,9865.70112761438
"2",2020-09-10,9927.47481437862
"3",2020-09-11,10082.8734828717
"4",2020-09-12,10172.9258657426
"5",2020-09-13,10202.1821479863
"6",2020-09-14,10355.8442407215
"7",2020-09-15,10418.990488444
"8",2020-09-16,10555.0494634348
"9",2020-09-17,10506.3240185076
"10",2020-09-18,10295.3399148434
"11",2020-09-19,10366.2533752614
"12",2020-09-20,10184.4317355937
"13",2020-09-21,10144.9530171221
"14",2020-09-22,10177.4066252345
"15",2020-09-23,10072.8855922621
"16",2020-09-24,10292.3949600601
"17",2020-09-25,10271.5222763968
"18",2020-09-26,10341.395292452
"19",2020-09-27,10345.206189658
"20",2020-09-28,10245.7353929389
"21",2020-09-29,10277.0303456968
"22",2020-09-30,10243.0925329119
"23",2020-10-01,10217.5964860207
"24",2020-10-02,10244.1489263767
"25",2020-10-03,10166.7807705432
"26",2020-10-04,10234.5578869534
"27",2020-10-05,10394.3725803477
"28",2020-10-06,10393.5779397929
"29",2020-10-07,10521.7252219874
"30",2020-10-08,10682.7088907433
"31",2020-10-09,10831.0458597606
"32",2020-10-10,10910.2256459498
"33",2020-10-11,10951.5460166162
"34",2020-10-12,11055.4187654996
"35",2020-10-13,10948.7192728245
"36",2020-10-14,10949.0720294344
"37",2020-10-15,11038.6675174409
"38",2020-10-16,11075.9490125602
"39",2020-10-17,11169.3863577944
"40",2020-10-18,11614.5257958454
"41",2020-10-19,11859.3482649523
"42",2020-10-20,11951.3239218932
"43",2020-10-21,12438.5633602458
"44",2020-10-22,12537.8399531931
"45",2020-10-23,12539.1534086555
"46",2020-10-24,12855.9457316452
"47",2020-10-25,12715.563611818
"48",2020-10-26,12781.0825230151
"49",2020-10-27,13092.9127989042
"50",2020-10-28,13073.8639419687
"51",2020-10-29,13125.1581305075
"52",2020-10-30,13107.8852529937
"53",2020-10-31,13397.055607608
"54",2020-11-01,13470.5528225571
"55",2020-11-02,13988.4032786447
"56",2020-11-03,14278.620644899
"57",2020-11-04,14075.2789756614
"58",2020-11-05,14961.3585470134
"59",2020-11-06,15027.0679092526
"60",2020-11-07,14669.3323649508
"61",2020-11-08,15080.4401719695
"62",2020-11-09,15318.245036177
"63",2020-11-10,15363.1933584672
"64",2020-11-11,15451.9144604087
"65",2020-11-12,15685.1616341615
"66",2020-11-13,16050.607162028
"67",2020-11-14,16382.7528411913
"68",2020-11-15,16427.718050766
"69",2020-11-16,16804.1224881017
"70",2020-11-17,17673.9808844924
"71",2020-11-18,17862.8876781976
"72",2020-11-19,17777.582498641
"73",2020-11-20,18165.278900224
"74",2020-11-21,18557.2327738702
"75",2020-11-22,18291.7946830976
"76",2020-11-23,17573.5015416145
"77",2020-11-24,17827.3436970186
"78",2020-11-25,17908.8342266393
"79",2020-11-26,17347.521529299
"80",2020-11-27,17899.1690708005
"81",2020-11-28,17899.8051585174
"82",2020-11-29,18306.0644385147
"83",2020-11-30,19179.1933390069
"84",2020-12-01,18543.4959060979
"85",2020-12-02,18841.4607832158
"86",2020-12-03,19099.8174726808
"87",2020-12-04,18675.7589948022
"88",2020-12-05,18477.3315253592
"89",2020-12-06,18662.4443091428
"90",2020-12-07,18460.020182364
"91",2020-12-08,17921.3270644522
"92",2020-12-09,18278.24169909
"93",2020-12-10,18347.8004240167
"94",2020-12-11,18299.7673577547
"95",2020-12-12,18734.2696829248
"96",2020-12-13,19792.954189328
"97",2020-12-14,20613.5392422271
"98",2020-12-15,20942.4097263765
"99",2020-12-16,22237.4843178177
"100",2020-12-17,23014.472031188
"101",2020-12-18,22962.5867876911
"102",2020-12-19,23751.3130401659
"103",2020-12-20,23441.3600674057
"104",2020-12-21,23211.2764449525
"105",2020-12-22,24114.8887703633
